structure,tense
"PRP,VBP,IN,DT,NN",PRESENT_SIMPLE
"PRP,VBP,IN,DT,NN,IN,NN",PRESENT_SIMPLE
"PRP,VBP,IN,DT,NN,TO,VB",PRESENT_SIMPLE
"PRP,VBP,IN,DT,NNS",PRESENT_SIMPLE
"PRP,VBP,IN,NN,NNS",PRESENT_SIMPLE
"PRP,VBP,IN,NNS",PRESENT_SIMPLE
"PRP,VBP,IN,NNS,CC,NNS",PRESENT_SIMPLE
"PRP,VBP,IN,PRP$,NN,DT,NN",PRESENT_SIMPLE
"PRP,VBP,IN,PRP$,NNS",PRESENT_SIMPLE
"PRP,VBP,JJ,DT,NN",PRESENT_SIMPLE
"PRP,VBP,JJ,IN,NN",PRESENT_SIMPLE
"PRP,VBP,JJ,NNS",PRESENT_SIMPLE
"PRP,VBP,JJ,NNS,DT,NN",PRESENT_SIMPLE
"PRP,VBP,JJ,NNS,RB",PRESENT_SIMPLE
"PRP,VBP,JJ,RB,DT,NN",PRESENT_SIMPLE
"PRP,VBP,NN,IN,DT,NN",PRESENT_SIMPLE
"PRP,VBP,NN,NNS",PRESENT_SIMPLE
"PRP,VBP,NN,NNS,RB",PRESENT_SIMPLE
"PRP,VBP,NN,TO,VB,JJ",PRESENT_SIMPLE
"PRP,VBP,NNS,IN,CD,NN",PRESENT_SIMPLE
"PRP,VBP,NNS,IN,DT,JJ,NN",PRESENT_SIMPLE
"PRP,VBP,NNS,IN,DT,NN",PRESENT_SIMPLE
"PRP,VBP,NNS,IN,NN",PRESENT_SIMPLE
"PRP,VBP,NNS,IN,NNS",PRESENT_SIMPLE
"PRP,VBP,NNS,RB",PRESENT_SIMPLE
"PRP,VBP,PRP$,NN,IN,NN",PRESENT_SIMPLE
"PRP,VBP,PRP$,NN,TO,VB,DT,NN",PRESENT_SIMPLE
"PRP,VBP,PRP$,NN,TO,VB,NNS",PRESENT_SIMPLE
"PRP,VBP,PRP$,NNS,RB",PRESENT_SIMPLE
"PRP,VBP,RB,IN,DT,NN",PRESENT_SIMPLE
"PRP,VBP,TO,DT,NN,IN,DT,NN",PRESENT_SIMPLE
"PRP,VBP,TO,DT,NNS,RB",PRESENT_SIMPLE
"PRP,VBP,TO,NN,IN,DT,NN",PRESENT_SIMPLE
"PRP,VBP,TO,NN,IN,PRP$,NNS",PRESENT_SIMPLE
"PRP,VBP,TO,NNS,IN,PRP$,NN",PRESENT_SIMPLE
"PRP,VBP,TO,VB",PRESENT_SIMPLE
"PRP,VBP,TO,VB,DT,NN",PRESENT_SIMPLE
"PRP,VBP,TO,VB,NNS",PRESENT_SIMPLE
"PRP,VBP,VBG,NNS",PRESENT_SIMPLE
"PRP,VBP,VBG,TO,NN",PRESENT_SIMPLE
"PRP,VBZ,CD,NNS,RB",PRESENT_SIMPLE
"PRP,VBZ,DT,NN",PRESENT_SIMPLE
"PRP,VBZ,DT,NN,IN,DT,NN",PRESENT_SIMPLE
"PRP,VBZ,DT,NN,NN",PRESENT_SIMPLE
"PRP,VBZ,DT,NN,RB",PRESENT_SIMPLE
"PRP,VBZ,DT,NN,TO,VB",PRESENT_SIMPLE
"PRP,VBZ,IN,DT,NN",PRESENT_SIMPLE
"PRP,VBZ,JJ,NN",PRESENT_SIMPLE
"PRP,VBZ,JJ,NNS",PRESENT_SIMPLE
"PRP,VBZ,JJ,NNS,IN,NNS",PRESENT_SIMPLE
"PRP,VBZ,JJ,NNS,TO,PRP$,NNS",PRESENT_SIMPLE
"PRP,VBZ,NN,IN,DT,NN",PRESENT_SIMPLE
"PRP,VBZ,NN,IN,NN,NNS",PRESENT_SIMPLE
"PRP,VBZ,NN,IN,PRP$,JJ,NN",PRESENT_SIMPLE
"PRP,VBZ,NN,IN,PRP$,JJR,NNS",PRESENT_SIMPLE
"PRP,VBZ,NN,IN,PRP$,NN,NN",PRESENT_SIMPLE
"PRP,VBZ,NN,IN,PRP$,NNS",PRESENT_SIMPLE
"PRP,VBZ,NNS,IN,DT,NN",PRESENT_SIMPLE
"PRP,VBZ,NNS,IN,DT,NN,NN",PRESENT_SIMPLE
"PRP,VBZ,NNS,IN,NN",PRESENT_SIMPLE
"PRP,VBZ,NNS,IN,NNS",PRESENT_SIMPLE
"PRP,VBZ,PRP$,JJ,JJ",PRESENT_SIMPLE
"PRP,VBZ,PRP$,NNS",PRESENT_SIMPLE
"PRP,VBZ,PRP$,NNS,IN,NN",PRESENT_SIMPLE
"PRP,VBZ,VBG,IN,NNS",PRESENT_SIMPLE
"PRP,VBZ,VBG,NNS",PRESENT_SIMPLE
"PRP,VBZ,VBG,NNS,CC,NNS",PRESENT_SIMPLE
"PRP,VBZ,VBG,NNS,NNS",PRESENT_SIMPLE
"DT,NN,NNS,VBP,VBG,DT,JJ,NN",PRESENT_CONTINUES
"DT,NN,NNS,VBP,VBG,DT,JJ,NN,IN,DT,NN",PRESENT_CONTINUES
"DT,NN,NNS,VBP,VBG,DT,NN",PRESENT_CONTINUES
"DT,NN,NNS,VBP,VBG,DT,NN,NN",PRESENT_CONTINUES
"DT,NN,NNS,VBP,VBG,RB,IN,DT,JJ,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,,,VBG,DT,JJ,NN,IN,DT,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,,,VBG,DT,NN,IN,JJ,NNS",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,,,VBG,DT,NN,IN,NNS,IN,NN,CC,VB",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,CC,VBG,IN,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,CC,VBG,IN,NNS",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,CC,VBG,IN,NNS,IN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,CC,VBG,IN,PRP$,NNS,RB",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,CC,VBG,JJ,NNS",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,CC,VBG,NNS",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,CC,VBG,NNS,IN,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,CC,VBG,TO,VB",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,CC,VBG,TO,VB,IN,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,CC,VBG,TO,VB,RP",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,DT,JJ,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,DT,JJ,NN,RB",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,DT,JJ,NN,TO,DT,NNS",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,DT,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,DT,NN,IN,DT,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,DT,NN,IN,JJ,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,DT,NN,IN,JJ,NNS",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,DT,NN,IN,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,DT,NN,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,IN,DT,JJ,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,IN,DT,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,IN,DT,NN,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,IN,DT,NNS",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,IN,VBG,IN,NNS",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,JJ,NNS,IN,DT,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,NNS,CC,VBG,TO,VB",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,RB,IN,DT,JJ,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,RB,IN,DT,JJ,NN,NN",PRESENT_CONTINUES
"DT,NN,VBZ,VBG,RB,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,CC,VBG,DT,JJ,NN,RB",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,CC,VBG,RB",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,CC,VBG,RP,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,DT,JJ,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,DT,JJ,NN,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,DT,JJ,NN,IN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,DT,JJ,NN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,DT,NN,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,DT,NN,NN,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,DT,NN,RB",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,DT,NNS,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,DT,JJ,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,DT,JJ,NN,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,DT,NN,CC,NN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,DT,NN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,DT,NN,NN,RB",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,DT,NN,VBZ",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,DT,NNS",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,DT,NNS,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,PRP$,JJ,NNS",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,PRP$,NN,NN,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,PRP$,NNS",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,PRP$,NNS,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,IN,PRP$,NNS,IN,DT,NN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,JJ",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,JJ,NN,NNS,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,JJ,NNS",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,JJ,NNS,IN,DT,JJ",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,JJ,NNS,IN,DT,JJ,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,JJ,NNS,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,JJ,NNS,IN,DT,NN,NNS",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,JJ,NNS,IN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,NN,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,NN,IN,PRP$,NN,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,NN,NNS,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,NN,NNS,RB",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,NNS,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,NNS,IN,DT,NNS",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,NNS,IN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,PRP$,NN,IN,DT,NN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,PRP$,NN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,PRP$,NN,NN,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,PRP$,NN,NN,IN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,PRP$,NN,NN,TO,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,PRP$,NN,NN,TO,DT,NNS",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,PRP$,NNS,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,PRP$,NNS,IN,DT,NN,VBZ",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,PRP$,NNS,IN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,RB,IN,DT,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,RB,IN,DT,NN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,RB,TO,PRP$,NNS",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,RP,DT,JJ,NN,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,RP,IN,DT,JJ,NN",PRESENT_CONTINUES
"DT,NNS,VBP,VBG,RP,IN,DT,NN",PRESENT_CONTINUES
"PRP$,NN,VBZ,VBG,IN,PRP$,NN,NN",PRESENT_CONTINUES
"PRP$,NN,VBZ,VBG,NNS,IN,DT,NN",PRESENT_CONTINUES
"PRP$,NN,VBZ,VBG,TO,VB,DT,NN",PRESENT_CONTINUES
"PRP$,NNS,VBP,VBG,PRP$,NNS,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJ,NN,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJ,NN,IN,DT,NN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJ,NN,IN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJ,NN,IN,PRP$,JJ,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJ,NN,IN,PRP$,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJ,NN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJ,VBG,NN,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJ,VBG,NN,IN,DT,NNS",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJS,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJS,NN,NNS",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,JJS,NN,PRP,VBD",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,IN,DT,NN,IN,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,IN,DT,NNS,VBP",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,IN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,IN,PRP$,NNP,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,NN,IN,PRP$,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,NN,IN,PRP$,NN,POS,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,NN,TO,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,NN,TO,VB,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,NN,TO,VB,DT,NNS",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,NN,TO,VB,JJ",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,NN,TO,VB,NNS",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,NN,TO,VB,PRP$,NNS",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,NNS,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,TO,PRP$,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NN,TO,VB,IN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,DT,NNS,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,IN,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,IN,DT,JJ,NN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,IN,DT,NN,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,IN,DT,NN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,IN,DT,NN,NN,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,IN,DT,NN,TO,VB",PRESENT_CONTINUES
"PRP,VBP,VBG,IN,DT,NNS",PRESENT_CONTINUES
"PRP,VBP,VBG,IN,NNS,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,IN,PRP$,JJ,NNS",PRESENT_CONTINUES
"PRP,VBP,VBG,IN,PRP$,JJ,NNS,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,JJ,IN,PRP$,JJ,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,JJ,NNS,IN,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,JJ,NNS,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,NN,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,NN,IN,JJ,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,NNS,IN,DT,JJ,NN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,NNS,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,PRP$,JJ,NNS,IN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,PRP$,NN,NN,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,PRP$,NN,NNS,IN,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,PRP$,NN,NNS,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,PRP$,NN,POS,NN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,RP,DT,JJ,NN,IN,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,RP,DT,JJ,NN,IN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,RP,DT,JJ,NN,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,RP,DT,JJ,NN,NN,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,TO,VB,DT,NN",PRESENT_CONTINUES
"PRP,VBP,VBG,TO,VB,DT,NN,IN,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,CC,VBG,JJ",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,JJ,NN,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,JJ,NN,IN,DT,NN,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,JJ,NN,IN,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,JJ,NN,IN,NN,IN,NNS",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,JJ,NN,IN,PRP$,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,JJ,NN,IN,PRP$,NN,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,JJ,NN,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,JJ,NN,NN,IN,VBG,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,JJ,NN,TO,NNS",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,NN,IN,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,NN,IN,DT,NN,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,NN,IN,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,NN,IN,PRP$,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,NN,NN,DT,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,NN,NN,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,NN,NN,IN,DT,NN,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,NN,NN,TO,NNS",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,NN,NN,TO,PRP$,JJS,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,NN,NN,TO,PRP$,NNS",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,NN,NN,TO,VBG,NNS",PRESENT_CONTINUES
"PRP,VBZ,VBG,DT,VBN,NN,IN,VBG,DT,NNS",PRESENT_CONTINUES
"PRP,VBZ,VBG,IN,DT,NN,IN,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,IN,DT,NN,IN,PRP$,JJS,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,IN,PRP$,NNS",PRESENT_CONTINUES
"PRP,VBZ,VBG,IN,PRP$,VBN,NNS,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,JJ,NN,IN,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,NN,IN,DT,NN,NNS",PRESENT_CONTINUES
"PRP,VBZ,VBG,NN,IN,JJ,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,NN,IN,PRP$,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,NNS,IN,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,PRP$,NN,CC,VBG,PRP$,NNS",PRESENT_CONTINUES
"PRP,VBZ,VBG,RB,IN",PRESENT_CONTINUES
"PRP,VBZ,VBG,RB,IN,DT,NN,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,RB,IN,DT,NNS",PRESENT_CONTINUES
"PRP,VBZ,VBG,RP,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,RP,DT,JJ,NN,IN,DT,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,RP,DT,JJ,NN,IN,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,TO,VB,DT,NN,IN,DT,JJ,NN",PRESENT_CONTINUES
"PRP,VBZ,VBG,TO,VB,IN,PRP$,NN",PRESENT_CONTINUES
"DT,NN,VBP,VBN,DT,NN",PRESENT_PERFECT
"DT,NN,VBZ,RB,VBN,IN,DT,NN",PRESENT_PERFECT
